date,open,high,low,close,volume
2025-05-25,1.83,1.84,1.75,1.76,9928604
2025-05-26,1.76,1.78,1.72,1.72,12170382
2025-05-27,1.72,1.75,1.72,1.73,6441149
2025-05-28,1.73,1.75,1.68,1.7,9463814
2025-05-29,1.7,1.7,1.64,1.67,10886110
2025-06-01,1.67,1.69,1.67,1.67,4140447
2025-06-02,1.67,1.71,1.67,1.69,9700249
2025-06-03,1.69,1.75,1.7,1.73,5876807
2025-06-04,1.73,1.75,1.7,1.71,2951713
2025-06-10,1.71,1.73,1.69,1.69,6534136
2025-06-11,1.69,1.71,1.68,1.68,7008363
2025-06-12,1.68,1.69,1.64,1.65,4831331
2025-06-15,1.65,1.63,1.38,1.62,7679263
2025-06-16,1.62,1.65,1.57,1.57,5007713
2025-06-17,1.57,1.59,1.52,1.54,4157583
2025-06-18,1.54,1.57,1.49,1.55,4225007
2025-06-19,1.55,1.56,1.47,1.48,3222706
2025-06-22,1.48,1.59,1.41,1.55,7726104
2025-06-23,1.55,1.6,1.54,1.55,5746070
2025-06-24,1.55,1.62,1.58,1.62,7782016
2025-06-25,1.62,1.64,1.59,1.62,4353862
2025-06-29,1.62,1.65,1.61,1.61,3490606
2025-06-30,1.61,1.62,1.58,1.58,4311187
2025-07-01,1.58,1.64,1.55,1.56,6294938
2025-07-02,1.56,1.6,1.57,1.6,2961810
2025-07-06,1.6,1.71,1.59,1.7,13273626
2025-07-07,1.7,1.77,1.66,1.66,30407768
2025-07-09,1.66,1.67,1.62,1.65,3416047
2025-07-10,1.65,1.7,1.65,1.66,5881068
2025-07-13,1.66,1.68,1.62,1.63,4409026
2025-07-14,1.63,1.67,1.62,1.65,4769562
2025-07-15,1.65,1.67,1.63,1.63,4102770
2025-07-16,1.63,1.68,1.63,1.64,5688540
2025-07-17,1.64,1.66,1.63,1.64,2420772
2025-07-20,1.64,1.66,1.63,1.64,2594736
2025-07-21,1.64,1.67,1.63,1.63,3110886
2025-07-22,1.63,1.65,1.62,1.63,3306765
2025-07-23,1.63,1.63,1.63,1.63,0
2025-07-27,1.61,1.64,1.6,1.6,2790600
2025-07-28,1.6,1.62,1.58,1.6,2145275
2025-07-29,1.6,1.6,1.58,1.59,1431100
2025-07-30,1.59,1.6,1.56,1.56,3171391
2025-07-31,1.56,1.59,1.56,1.56,2470168
2025-08-03,1.56,1.56,1.56,1.56,0
2025-08-04,1.56,1.56,1.56,1.56,0
2025-08-05,1.56,1.56,1.56,1.56,0
2025-08-06,1.56,1.56,1.56,1.56,0
2025-08-07,1.56,1.56,1.56,1.56,0
2025-08-10,1.8,1.83,1.77,1.78,9014726
2025-08-11,1.78,1.81,1.74,1.75,5033138
2025-08-12,1.75,1.83,1.71,1.81,23280496
2025-08-13,1.81,1.89,1.76,1.76,18620611
2025-08-14,1.76,1.8,1.72,1.73,9273126
2025-08-17,1.73,1.76,1.71,1.71,5779819
2025-08-18,1.71,1.77,1.72,1.74,7314142
2025-08-19,1.74,1.82,1.75,1.76,23138182
2025-08-20,1.76,1.79,1.72,1.73,11621823
2025-08-21,1.73,1.74,1.7,1.71,5266137
2025-08-24,1.71,1.73,1.7,1.71,6057248
2025-08-25,1.71,1.76,1.71,1.74,11814254
2025-08-26,1.74,1.77,1.71,1.72,9855279
2025-08-27,1.72,1.73,1.7,1.71,5718789
2025-08-28,1.71,1.79,1.71,1.77,17481114
2025-08-31,1.77,1.8,1.72,1.72,7453530
2025-09-01,1.72,1.77,1.71,1.75,10093763
2025-09-02,1.75,1.77,1.73,1.74,5555286
2025-09-03,1.74,1.75,1.73,1.73,3403050
2025-09-07,1.73,1.75,1.69,1.7,4724026
2025-09-08,1.7,1.71,1.65,1.67,10002163
2025-09-09,1.67,1.68,1.61,1.65,6454699
2025-09-10,1.65,1.67,1.62,1.65,2606121
2025-09-11,1.65,1.69,1.66,1.69,3093145
2025-09-14,1.69,1.72,1.67,1.67,4054078
2025-09-15,1.67,1.7,1.66,1.68,8978359
2025-09-16,1.68,1.69,1.62,1.64,2980729
2025-09-17,1.64,1.64,1.61,1.63,1001267
2025-09-18,1.63,1.65,1.62,1.63,1962609
2025-09-21,1.63,1.65,1.61,1.62,3381229
2025-09-22,1.62,1.76,1.63,1.73,30738223
2025-09-23,1.73,1.75,1.69,1.71,14225837
2025-09-24,1.71,1.74,1.7,1.73,5895075
2025-09-25,1.73,2.0,1.74,1.94,202466125
2025-09-28,1.94,2.32,1.95,2.02,236654838
2025-09-29,2.02,2.42,2.05,2.42,251639937
2025-09-30,2.42,2.83,2.5,2.69,203463877
2025-10-01,2.69,2.72,2.48,2.64,127035699
2025-10-02,2.64,2.76,2.55,2.63,100974899
2025-10-05,2.63,3.15,2.62,2.9,124470078
2025-10-06,2.9,3.0,2.78,2.79,130482950
2025-10-07,2.79,2.86,2.74,2.83,74020458
2025-10-08,2.83,2.93,2.79,2.82,113007200
2025-10-12,2.82,2.86,2.63,2.65,70289692
2025-10-13,2.65,2.86,2.65,2.78,109493901
2025-10-14,2.78,2.84,2.74,2.75,66666036
2025-10-15,2.75,2.8,2.69,2.73,47952016
2025-10-16,2.73,2.83,2.71,2.75,62185848
2025-10-19,2.75,2.85,2.78,2.8,47191226
2025-10-20,2.8,2.82,2.72,2.73,24330602
2025-10-21,2.73,2.79,2.72,2.79,27067244
2025-10-22,2.79,2.96,2.81,2.87,112618509
2025-10-23,2.87,2.94,2.81,2.83,58236138
2025-10-26,2.83,3.06,2.85,3.06,78783172
2025-10-27,3.06,3.16,3.05,3.08,141106340
2025-10-28,2.0213,2.0409,1.9228,1.9294,105885753
2025-10-29,1.9294,1.9556,1.9097,1.9359,48378503
2025-10-30,1.9359,1.9819,1.9359,1.9556,53681909
2025-11-02,1.9556,2.0016,1.89,1.89,67043766
2025-11-03,1.89,1.9097,1.8441,1.8441,39235817
2025-11-04,1.8441,1.9162,1.8506,1.8966,46545325
2025-11-05,1.8966,1.9031,1.8441,1.8506,41047509
2025-11-06,1.851,1.89,1.75,1.76,30222238
2025-11-09,1.76,1.85,1.76,1.79,43576458
2025-11-10,1.79,1.81,1.73,1.76,32765815
2025-11-11,1.76,1.8,1.74,1.77,17460292
2025-11-12,1.77,1.79,1.75,1.75,13147559
2025-11-13,1.75,1.76,1.69,1.7,34830729
2025-11-16,1.7,1.72,1.63,1.63,24099356
2025-11-17,1.63,1.66,1.62,1.66,21833250
2025-11-18,1.66,1.69,1.64,1.65,19449384
2025-11-19,1.65,1.69,1.63,1.69,21429238
2025-11-20,1.69,1.83,1.71,1.8,131814591
2025-11-23,1.8,1.87,1.79,1.79,54054553
2025-11-24,1.79,1.81,1.7,1.74,26195351
2025-11-25,1.74,1.74,1.65,1.65,33353595
2025-11-26,1.65,1.79,1.65,1.75,59257524
2025-11-27,1.75,1.75,1.7,1.71,22873599
2025-11-30,1.71,1.76,1.68,1.7,26401503
2025-12-01,1.7,1.71,1.62,1.64,34380679
2025-12-02,1.64,1.66,1.58,1.6,38973752
2025-12-03,1.6,1.7,1.59,1.63,64428148
2025-12-04,1.63,1.65,1.6,1.61,21810019
2025-12-07,1.61,1.68,1.61,1.65,24277052
2025-12-08,1.65,1.68,1.63,1.65,24000788
2025-12-09,1.65,1.66,1.62,1.63,13990535
2025-12-10,1.63,1.65,1.62,1.63,19304412
2025-12-11,1.63,1.66,1.62,1.64,20738387
2025-12-14,1.64,1.71,1.63,1.67,50279256
2025-12-15,1.67,1.75,1.69,1.72,76374861
2025-12-16,1.72,1.79,1.71,1.75,68449369
2025-12-17,1.75,1.78,1.7,1.72,34744732
2025-12-18,1.72,1.73,1.68,1.69,16661799
2025-12-21,1.69,1.71,1.67,1.68,16976114
2025-12-22,1.68,1.77,1.68,1.75,80473408
2025-12-23,1.75,1.81,1.71,1.72,76793606
2025-12-24,1.72,1.74,1.7,1.72,22382805
2025-12-25,1.72,1.73,1.7,1.73,16565389
2025-12-28,1.73,1.75,1.7,1.72,13666804
2025-12-29,1.72,1.75,1.71,1.72,30133986
2025-12-30,1.72,1.74,1.7,1.72,22942587
2025-12-31,1.72,1.74,1.69,1.69,29202667
2026-01-04,1.69,1.72,1.69,1.7,16852259
2026-01-05,1.7,1.72,1.68,1.69,16681202
2026-01-06,1.69,1.72,1.69,1.72,13192985
2026-01-08,1.72,1.74,1.69,1.7,23498480
2026-01-11,1.7,1.73,1.7,1.7,11649744
2026-01-12,1.7,1.72,1.67,1.69,19791848
2026-01-13,1.69,1.69,1.59,1.62,31575009
2026-01-14,1.62,1.63,1.55,1.56,16726317
2026-01-15,1.56,1.58,1.49,1.53,16693965
2026-01-18,1.53,1.56,1.53,1.56,6449220
2026-01-19,1.56,1.59,1.56,1.58,17330746
2026-01-20,1.58,1.6,1.55,1.56,12665315
2026-01-21,1.56,1.57,1.54,1.56,9727085
2026-01-22,1.56,1.56,1.54,1.55,10099479
2026-01-25,1.55,1.56,1.51,1.51,11661710
2026-01-26,1.51,1.53,1.47,1.5,17077336
2026-01-27,1.5,1.51,1.44,1.44,23229770
2026-01-28,1.44,1.46,1.37,1.43,22455052
2026-02-01,1.43,1.54,1.4,1.53,34714015
2026-02-02,1.53,1.54,1.5,1.51,12029498
2026-02-03,1.51,1.59,1.51,1.59,31592639
2026-02-04,1.59,1.65,1.58,1.63,34732181
2026-02-05,1.63,1.73,1.63,1.66,151514284
2026-02-08,1.66,1.72,1.66,1.67,50481751
2026-02-09,1.67,1.69,1.62,1.64,32328328
2026-02-10,1.64,1.66,1.61,1.62,15127730
2026-02-11,1.62,1.68,1.6,1.63,38017273
2026-02-12,1.63,1.66,1.62,1.65,34888866
2026-02-15,1.65,1.71,1.66,1.68,47540585
2026-02-16,1.68,1.69,1.62,1.63,22879733
2026-02-17,1.63,1.65,1.62,1.64,7312678
2026-02-18,1.64,1.66,1.63,1.66,16105570
2026-02-19,1.66,1.67,1.6,1.6,18981460
2026-02-22,1.6,1.62,1.55,1.58,11206050
2026-02-23,1.58,1.61,1.56,1.59,7892595
2026-02-24,1.59,1.6,1.56,1.56,8408535
2026-02-25,1.56,1.57,1.45,1.49,10894340
2026-02-26,1.49,1.53,1.48,1.52,16210999
2026-03-01,1.52,1.45,1.38,1.45,21401880
2026-03-02,1.45,1.49,1.45,1.45,9864023
2026-03-03,1.45,1.46,1.42,1.44,7086959
2026-03-04,1.44,1.47,1.43,1.45,10184890
2026-03-05,1.45,1.51,1.45,1.46,23302910
2026-03-08,1.46,1.61,1.44,1.53,72778770
2026-03-09,1.53,1.59,1.5,1.56,30166800
2026-03-10,1.56,1.62,1.56,1.58,17965090
2026-03-11,1.58,1.59,1.55,1.56,7614635
2026-03-12,1.56,1.58,1.54,1.55,8888387
2026-03-15,1.55,1.56,1.53,1.53,5221267
2026-03-16,1.53,1.54,1.5,1.51,24437230
2026-03-17,1.51,1.54,1.51,1.52,15846770
2026-03-18,1.52,1.54,1.51,1.52,10950360
2026-03-19,1.52,1.52,1.52,1.52,0
2026-03-24,1.52,1.57,1.52,1.55,22094530
2026-03-25,1.55,1.63,1.55,1.6,69047960
2026-03-26,1.6,1.62,1.56,1.56,21310850
2026-03-29,1.56,1.57,1.53,1.53,9799822
2026-03-30,1.53,1.56,1.51,1.53,11291070
2026-03-31,1.53,1.55,1.52,1.53,10968700
2026-04-01,1.53,1.56,1.53,1.53,7740666
2026-04-02,1.53,1.55,1.52,1.54,8519811
2026-04-05,1.54,1.57,1.54,1.56,9932554
2026-04-06,1.56,1.59,1.54,1.54,12861710
2026-04-07,1.54,1.56,1.53,1.53,10021930
2026-04-08,1.53,1.56,1.54,1.55,10748860
2026-04-09,1.55,1.55,1.53,1.54,7387057
2026-04-14,1.54,1.55,1.54,1.55,6676954
2026-04-15,1.55,1.58,1.54,1.57,17676690
2026-04-16,1.57,1.62,1.58,1.6,46483160
2026-04-19,1.6,1.64,1.57,1.57,27193470
2026-04-20,1.57,1.58,1.55,1.56,6918796
2026-04-21,1.56,1.59,1.55,1.57,13174380
2026-04-22,1.57,1.63,1.57,1.62,34670660
2026-04-23,1.62,1.67,1.62,1.63,46274240
2026-04-26,1.63,1.66,1.62,1.63,16625630
2026-04-27,1.63,1.65,1.62,1.63,12395500
2026-04-28,1.63,1.64,1.61,1.61,19177660
2026-04-29,1.61,1.63,1.6,1.63,19834410
2026-04-30,1.63,1.67,1.62,1.62,62824460
2026-05-03,1.62,1.66,1.63,1.65,22234920
2026-05-04,1.65,1.67,1.62,1.63,19190790
2026-05-05,1.63,1.63,1.61,1.63,9583191
2026-05-06,1.63,1.65,1.62,1.62,9816431
2026-05-10,1.62,1.64,1.61,1.62,9349206
2026-05-11,1.62,1.63,1.61,1.63,10815300
2026-05-12,1.63,1.68,1.62,1.67,30972940
2026-05-13,1.67,1.78,1.69,1.72,106292400
2026-05-14,1.72,1.74,1.69,1.71,28264440
2026-05-17,1.71,1.72,1.64,1.65,29622480
2026-05-18,1.65,1.66,1.62,1.62,18282690
2026-05-19,1.62,1.65,1.61,1.61,14742650
2026-05-20,1.61,1.62,1.56,1.56,16158210
2026-05-21,1.56,1.58,1.54,1.56,13629980
2026-05-24,1.56,1.63,1.55,1.6,18626830
2026-05-25,1.6,1.61,1.58,1.6,6083532
2026-06-01,1.6,1.65,1.58,1.62,20315340
2026-06-02,1.62,1.64,1.6,1.61,8758091
2026-06-03,1.61,1.7,1.6,1.66,41983150
2026-06-04,1.66,1.88,1.67,1.85,204582500
2026-06-07,1.85,1.93,1.76,1.78,119828216
2026-06-08,1.78,1.82,1.75,1.77,62634306
2026-06-09,1.77,1.86,1.78,1.81,56726484
2026-06-10,1.81,1.83,1.7,1.72,31012430
2026-06-11,1.72,1.75,1.66,1.71,22253170
2026-06-14,1.71,1.79,1.75,1.78,30563810
2026-06-15,1.78,2.0,1.8,2.0,161991700
2026-06-16,2.0,2.04,1.94,1.95,176081700
2026-06-17,1.95,1.98,1.92,1.96,38467290
2026-06-21,1.96,1.98,1.92,1.96,21265290
2026-06-22,1.96,2.01,1.94,1.94,53828580
2026-06-23,1.94,2.0,1.88,1.91,67169880
2026-06-24,1.91,1.94,1.84,1.87,36676770
2026-06-25,1.87,1.88,1.8,1.84,23523977
2026-06-28,1.84,1.84,1.75,1.77,16264522
2026-06-29,1.77,1.78,1.7,1.74,23294393
2026-06-30,1.74,1.83,1.76,1.83,32190575
2026-07-01,1.83,1.86,1.81,1.83,17594356
2026-07-05,1.83,1.86,1.81,1.83,15018146
2026-07-06,1.83,1.84,1.79,1.82,37230720
2026-07-07,1.82,1.86,1.81,1.82,27759036
2026-07-08,1.82,1.83,1.77,1.8,16977845
2026-07-09,1.8,1.93,1.8,1.91,43946520
2026-07-12,1.91,1.95,1.88,1.88,26148826
2026-07-13,1.88,1.92,1.87,1.89,37550926
2026-07-14,1.89,1.92,1.87,1.91,58339970
2026-07-15,1.91,1.95,1.89,1.9,41723568
2026-07-16,1.9,1.91,1.86,1.86,28066595
2026-07-19,1.86,1.89,1.82,1.82,31805856
2026-07-20,1.82,1.89,1.83,1.86,30850130
2026-07-21,1.86,1.89,1.84,1.85,11572206
2026-07-22,1.85,1.87,1.82,1.84,18269249
2026-07-26,1.84,1.91,1.83,1.88,41609307
2026-07-27,1.88,1.91,1.85,1.86,17755158
2026-07-28,1.86,1.94,1.84,1.93,89209079
2026-07-29,1.93,2.07,1.96,1.97,228502300
2026-07-30,1.97,1.97,1.88,1.94,59000410
2026-08-02,1.94,1.98,1.94,1.98,23578787
2026-08-03,1.98,2.04,1.94,1.94,55896000
2026-08-04,1.94,1.97,1.91,1.94,32835659
2026-08-05,1.94,1.98,1.94,1.94,24458368
2026-08-06,1.94,2.03,1.94,1.98,49318546
2026-08-09,1.98,2.12,2.01,2.11,133673663
2026-08-10,2.11,2.19,2.11,2.14,123634700
2026-08-11,2.14,2.23,2.08,2.23,87449773
2026-08-12,2.23,2.3,2.18,2.21,75254540
2026-08-13,2.21,2.26,2.14,2.17,36589850
2026-08-16,2.17,2.24,2.16,2.18,30215785
2026-08-17,2.18,2.2,2.12,2.12,26081830
2026-08-18,2.12,2.29,2.11,2.27,94281770
